timestamp;x;y
0;471.767565199173;613.436771595416
0,25;471.677255722517;613.98533038068
0,5;473.492398201508;615.681424362055
0,75;474.660172599498;611.890710358638
1;473.114228861855;614.716455725693
1,25;474.452551181023;611.074183813358
1,5;474.209152101795;616.390480221404
1,75;472.016348319847;615.375328095881
2;472.12474969502;616.787531370585
2,25;474.57513689403;617.304219117703
2,5;471.658793641828;613.723886585923
2,75;475.4460063421;612.975866391895
3;471.479095284115;613.818083514321
3,25;472.723518528169;613.314772157353
3,5;475.601728592614;614.28564712748
3,75;473.556194126074;614.059235134315
4;472.13306725528;613.934742975257
4,25;472.166696621075;615.014590490109
4,5;475.653308102288;612.376921338308
4,75;471.630982317108;614.429615985248
5;476.830470605183;615.849814089263
5,25;474.076684513984;614.409926338266
5,5;472.958581671961;615.147277244237
5,75;473.956450720805;614.300231222852
6;474.635969704762;615.142353510813
6,25;474.124841318514;614.262386925486
6,5;473.268345326795;613.229345621776
6,75;473.508374820829;616.112056213237
7;472.51418294444;613.72129884771
7,25;473.933562100847;613.58345885037
7,5;472.805263967565;613.806053118886
7,75;473.036909500664;616.37090621671
8;471.228527196552;612.507086645085
8,25;472.824031889726;613.694933706063
8,5;474.839787841283;613.933420094239
8,75;470.681036751152;614.07918280446
9;472.844347848887;615.058106040706
9,25;472.420363089558;614.116599373395
9,5;471.716522286084;616.592740773066
9,75;474.120567495903;612.053119287136
10;474.649609649344;613.871272130957
10,25;473.54302495647;615.297311385333
10,5;473.556825726206;614.727461261347
10,75;473.62108898394;613.191566779145
11;473.551438096572;611.585520251776
11,25;471.64699965459;615.599589576338
11,5;473.08517430467;616.529018179675
11,75;471.572084303574;615.391629204235
12;470.79493175547;613.848748363561
12,25;470.218288537834;612.244981710719
12,5;472.091468177114;615.485097532321
12,75;471.814897679189;611.866614450487
13;471.401997410104;615.262805466254
13,25;469.861550734273;614.790540864571
13,5;465.678778749224;613.374195109601
13,75;465.86578777448;612.593739052635
14;460.835182627594;613.910741107888
14,25;455.153117273173;614.486047752131
14,5;446.812772851007;613.092002956589
14,75;440.023182958442;612.860398888538
15;431.43675580793;613.775932079702
15,25;427.959977316391;611.981071891195
15,5;418.702864796241;608.134959249548
15,75;419.727802597674;598.983308591495
16;420.188718932315;589.978556157767
16,25;418.770970329398;578.678943060358
16,5;413.364677883562;566.38303691886
16,75;409.638938724193;551.260112312874
17;402.574194684147;535.207343881736
17,25;400.988427090336;526.563543143912
17,5;395.93396577343;511.350163951573
17,75;396.122810578332;502.436370348453
18;393.908722590316;494.288472032114
18,25;393.87155975504;479.91758696348
18,5;396.103869347587;467.694974596577
18,75;400.140727749801;455.133984609721
19;404.778049689522;436.843077730611
19,25;411.087284118839;417.078446965543
19,5;417.804424515576;402.068616582657
19,75;424.012363367248;384.75668682005
20;431.08831126331;371.001782862932
20,25;439.04008538285;363.273058745864
20,5;447.108555148935;357.672350111284
20,75;455.08840036266;357.944675626673
21;468.710460535144;357.028627304853
21,25;487.286275401402;359.31166232567
21,5;510.583271588847;362.024622286385
21,75;535.096889719296;363.894846436449
22;559.931497407082;362.744801327967
22,25;582.463802967922;360.464073703883
22,5;603.362111618501;363.998081547377
22,75;623.204115528274;363.894335476262
23;639.450126633946;362.243425798752
23,25;645.248336333655;364.001262135525
23,5;653.126085772511;369.63029661768
23,75;659.064895221593;370.375572124268
24;665.969304469176;375.192586117956
24,25;669.150010191834;380.44253566941
24,5;673.466668786506;383.188946686541
24,75;675.234962175865;386.714935155194
25;674.522295503533;387.278274314582
25,25;672.533550099629;390.344887052153
25,5;670.646558968167;390.958780017333
25,75;668.867174758354;394.809661759525
26;665.971549927701;396.421855264886
26,25;663.738841077668;399.250528109071
26,5;662.669179937962;397.791598726007
26,75;664.184783357311;396.696622202378
27;661.698042253953;395.771541502046
27,25;657.345202998381;399.750035477875
27,5;656.552159906207;400.057337812353
27,75;652.366766345066;404.070493012956
28;649.079945662317;406.019908264626
28,25;645.98825369413;412.416949337342
28,5;643.123574360237;412.904772309504
28,75;641.049994650967;419.885055824592
29;635.817594432577;421.75628634453
29,25;635.159225325941;426.102304092834
29,5;634.512326498062;422.137273601682
29,75;631.848710647494;425.56456901302
30;631.846214923104;425.399128498439
30,25;634.722324835828;420.106675599281
30,5;637.73740793135;418.278213166432
30,75;641.294043362794;412.224208666063
31;647.818203996029;403.412436802227
31,25;652.55262955866;396.605836719208
31,5;653.855220070337;391.333634029782
31,75;653.799317399535;386.787318176928
32;651.599322231789;383.121013074686
32,25;647.863984240251;381.867075176148
32,5;648.033385676407;387.001609016743
