timestamp;x;y
0;472.204528809000;614.236206055000
0,25;472.401885986000;613.501342773000
0,5;472.528045654000;615.216186523000
0,75;474.519470215000;614.358032227000
1;472.784088135000;615.036010742000
1,25;474.116088867000;613.103332520000
1,5;473.992523193000;615.228454590000
1,75;472.871582031000;614.426208496000
2;473.283294678000;615.301879883000
2,25;474.051422119000;615.260192871000
2,5;472.202514648000;613.643859863000
2,75;473.770355225000;613.503601074000
3;471.775421143000;613.522033691000
3,25;472.342559814000;613.094787598000
3,5;473.724243164000;614.452087402000
3,75;473.602539062000;614.240112305000
4;471.776611328000;614.955383301000
4,25;472.358886719000;614.968872070000
4,5;474.122131348000;613.727172852000
4,75;471.375274658000;614.165527344000
5;475.666076660000;615.231079102000
5,25;474.435272217000;613.739746094000
5,5;474.571258545000;614.248046875000
5,75;473.986907959000;613.771179199000
6;473.433349609000;614.261901855000
6,25;473.369598389000;614.275329590000
6,5;473.492584229000;613.612609863000
6,75;473.511352539000;614.716247559000
7;473.445556641000;615.565979004000
7,25;473.230560303000;614.692382812000
7,5;473.616973877000;614.602783203000
7,75;472.704711914000;615.784240723000
8;472.361236572000;613.876892090000
8,25;472.735504150000;613.739135742000
8,5;473.260070801000;613.431640625000
8,75;470.559997559000;614.413635254000
9;472.435668945000;614.382446289000
9,25;472.692260742000;613.479980469000
9,5;472.976623535000;614.206054688000
9,75;472.832214355000;613.462280273000
10;473.158355713000;614.406860352000
10,25;473.196166992000;614.317687988000
10,5;473.172821045000;614.878051758000
10,75;473.294738770000;613.447082520000
11;474.943878174000;612.291381836000
11,25;471.514129639000;614.432373047000
11,5;472.357452393000;615.756530762000
11,75;472.804077148000;614.518066406000
12;469.696380615000;613.649108887000
12,25;471.088134766000;614.033508301000
12,5;472.193572998000;613.357543945000
12,75;472.681884766000;612.664855957000
13;471.730133057000;614.704040527000
13,25;468.898132324000;613.197143555000
13,5;466.582885742000;613.224182129000
13,75;465.438720703000;612.708984375000
14;461.034210205000;613.197204590000
14,25;454.938659668000;614.828735352000
14,5;447.231781006000;613.814392090000
14,75;438.806640625000;615.084289551000
15;429.913940430000;613.984863281000
15,25;427.897766113000;611.828125000000
15,5;420.633026123000;606.622558594000
15,75;419.665496826000;598.289123535000
16;418.813690186000;588.937744141000
16,25;418.613220215000;578.894287109000
16,5;413.727813721000;564.989501953000
16,75;409.740051270000;550.336425781000
17;405.574768066000;535.554016113000
17,25;401.208801270000;526.468750000000
17,5;396.398590088000;512.804809570000
17,75;396.512695312000;503.299804688000
18;393.971862793000;493.930664062000
18,25;395.257141113000;480.729278564000
18,5;397.689392090000;467.897827148000
18,75;399.548004150000;453.903625488000
19;405.471923828000;437.538330078000
19,25;411.574645996000;417.191772461000
19,5;417.095855713000;403.144836426000
19,75;424.331207275000;384.022155762000
20;430.387573242000;370.447143555000
20,25;438.804534912000;364.775299072000
20,5;447.415283203000;358.534545898000
20,75;455.202941895000;358.499572754000
21;469.699951172000;359.676757812000
21,25;486.666015625000;360.579895020000
21,5;509.566833496000;362.811889648000
21,75;534.401733398000;363.343841553000
22;559.557678223000;362.973266602000
22,25;583.164001465000;361.600921631000
22,5;605.017028809000;364.257965088000
22,75;623.716735840000;363.151214600000
23;638.206665039000;362.375091553000
23,25;644.628967285000;365.319915771000
23,5;653.558959961000;366.623168945000
23,75;660.034179688000;370.128814697000
24;667.018005371000;373.675567627000
24,25;670.054382324000;377.749877930000
24,5;673.720825195000;381.944427490000
24,75;675.625122070000;386.827850342000
25;675.333129883000;389.327819824000
25,25;673.638122559000;391.880310059000
25,5;670.716003418000;391.426574707000
25,75;668.655212402000;394.660552979000
26;666.150634766000;394.600494385000
26,25;665.582946777000;396.852325439000
26,5;664.316223145000;396.933685303000
26,75;663.772644043000;397.949737549000
27;662.063720703000;395.967987061000
27,25;658.466003418000;397.516113281000
27,5;654.153869629000;400.034393311000
27,75;651.269165039000;404.134643555000
28;648.452026367000;407.005187988000
28,25;646.004943848000;412.074554443000
28,5;643.265991211000;413.448425293000
28,75;638.951171875000;419.449859619000
29;636.746093750000;420.619537354000
29,25;634.326171875000;424.336578369000
29,5;633.987854004000;422.154022217000
29,75;631.239868164000;423.103698730000
30;631.933044434000;423.591156006000
30,25;632.918945312000;420.953094482000
30,5;636.644470215000;416.610992432000
30,75;642.820129395000;411.736877441000
31;647.501586914000;404.330902100000
31,25;651.971923828000;395.335296631000
31,5;654.029113770000;390.384429932000
31,75;653.610595703000;386.196472168000
32;650.295104980000;383.015533447000
32,25;647.639770508000;382.941894531000
32,5;646.333190918000;384.593750000000
32,75;647.132812500000;385.580657959000
33;648.383483887000;386.505645752000
33,25;648.268676758000;388.715942383000
33,5;651.130920410000;392.528869629000
33,75;650.453674316000;395.018981934000
34;650.942138672000;396.652465820000
34,25;651.537780762000;399.389953613000
34,5;647.389709473000;400.435852051000
