timestamp;x;y
0;450.414465861904;599.144713597456
0,25;486.954204133755;614.637982317976
0,5;484.184116489337;612.571470337384
0,75;477.598983028175;615.206311794616
1;483.254949365378;629.28995750059
1,25;473.047013057027;616.165279639439
1,5;455.635315095678;606.932797330292
1,75;471.610291551632;635.895976924474
2;466.502803952209;608.596626888833
2,25;486.701821631831;610.355861374353
2,5;475.683946039447;619.186431141473
2,75;477.905251758846;599.836640807149
3;468.030277642077;614.925266784536
3,25;463.400035735688;612.699316297209
3,5;476.527777587251;635.079282492554
3,75;469.219983195828;626.756657333633
4;485.702090746605;618.912601462453
4,25;468.685111779714;604.098169646255
4,5;466.167862415094;618.933402462992
4,75;469.191293478661;610.599530484345
5;486.486056176262;609.968537891108
5,25;468.765289555242;595.144697783125
5,5;473.616264700558;591.342244693966
5,75;459.207146427757;617.24190516385
6;474.654418871524;618.765013938914
6,25;469.538436497233;610.495143281643
6,5;469.003086373636;619.961449190534
6,75;474.956885378614;617.883541369762
7;473.71616952755;601.700432366536
7,25;473.205209848856;602.407545199211
7,5;503.690470221152;626.375615850483
7,75;483.172018403446;620.365722230703
8;489.258566413466;610.695728600337
8,25;489.400776299629;603.280313954049
8,5;470.385055587499;616.018725709118
8,75;465.689942721922;616.869342707673
9;455.743852826971;595.861299949997
9,25;462.939610824248;622.910068604847
9,5;470.118654695838;614.817120126831
9,75;471.910305028239;616.806450213719
10;476.411133004999;601.197613207574
10,25;474.734032421823;630.790026789899
10,5;461.238971480972;623.237498183915
10,75;469.991298961536;605.187047289342
11;492.326827635897;610.250497022234
11,25;468.486486917075;608.27097777549
11,5;463.122903582988;619.919223072867
11,75;470.24841211385;622.589909194047
12;473.064311476392;617.334650897479
12,25;467.196472112685;618.765059998435
12,5;467.902114842173;618.71580638325
12,75;469.228145273573;601.859495848389
13;483.677709469854;621.832536942288
13,25;477.345715728929;604.479603980347
13,5;459.03537180923;619.377814393964
13,75;457.933209650343;601.765474161864
14;443.523327087055;624.196310712799
14,25;466.280777839659;619.030504429276
14,5;446.150145484774;621.739165673036
14,75;436.369834755455;608.333848597558
15;431.716018435617;621.832143111316
15,25;414.814976628577;604.302549611389
15,5;411.359943185106;602.891508288733
15,75;421.512892390281;595.582237649783
16;415.579442987009;594.050172411448
16,25;397.916778245749;591.69168335755
16,5;405.95872318147;562.648104209934
16,75;412.40273262455;548.270642344449
17;416.350880785816;538.637499956507
17,25;402.099045279719;519.741175360959
17,5;397.858372585998;527.354764453978
17,75;391.68129292518;513.84517511232
18;396.084411028636;503.354313215443
18,25;400.71418707542;476.091465643018
18,5;388.602898920007;452.055596086681
